srcStateName,Class Studying,Schools surveyed,srcDistrictName,Students surveyed,srcYear,Average performance of students on learning outcome E302 EVS,Average performance of students on learning outcome E303 EVS,Average performance of students on learning outcome E304 EVS,Average performance of students on learning outcome E305 EVS,Average performance of students on learning outcome E307 EVS,Average performance of students on learning outcome E309 EVS,Average performance of students on learning outcome E310 EVS,Average performance of students on learning outcome E311 EVS,Average performance of students on learning outcome E313 EVS,Average performance of students on learning outcome E314 EVS,Average performance of students on learning outcome L304 Language,Average performance of students on learning outcome L312 Language,Average performance of students on learning outcome M301 Mathematics,Average performance of students on learning outcome M302 Mathematics,Average performance of students on learning outcome M303 Mathematics,Average performance of students on learning outcome M304 Mathematics,Average performance of students on learning outcome M305 Mathematics,Average performance of students on learning outcome M306 Mathematics,Average performance of students on learning outcome M309 Mathematics,Average performance of students on learning outcome M311 Mathematics,Average performance of students on learning outcome M312 Mathematics,Average performance of students on learning outcome M317 Mathematics,Average performance of students on learning outcome M318 Mathematics,Average performance of students on learning outcome M319 Mathematics,YearCode,Year
Uttarakhand,3,61,Bageshwar,453,2017,66.23,71.69,71.44,80.46,74.38,65.81,83,58.28,46.58,82.56,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Baghpat,1155,2017,57.66,61.47,67.48,66.45,66.99,57.71,71.17,56.62,30.65,71.69,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Bahraich,1282,2017,57.02,66.83,66.03,68.21,69.55,62.22,67.71,50.62,35.77,71.68,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Baksa,769,2017,59.17,67.89,69.76,73.21,72.25,58.55,70.74,59.17,40.21,75.81,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Ashoknagar,794,2017,,,,,,,,,,,73.64,70.6,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Balaghat,855,2017,56.26,60.35,64.33,65.5,69.14,58.59,69.71,54.27,34.41,74.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,61,Balasore,1071,2017,55.09,60.82,60.37,68.3,70.49,63.36,70.77,59.29,43.28,75.16,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Ballari,1595,2017,64.39,64.78,69.54,75.71,74.54,68.18,81.63,67.27,50.64,83.82,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,53,Ballia,862,2017,53.13,57.27,57.1,60.9,62.35,55.86,56.5,48.61,26.03,64.27,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,61,Balod,980,2017,56.94,52.77,66.49,70.1,67.31,58.01,76.02,55.71,42.92,87.04,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,61,Balodabazar,1218,2017,51.89,48.74,62.12,64.86,64.7,55.84,69.38,50.9,28.67,79.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Balrampur,1007,2017,42.6,45.14,52.69,51.89,53.2,48.07,52.33,39.82,20.23,59.68,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Banas Kantha,1370,2017,56.79,71.01,73.97,71.13,78.56,69.43,74.53,58.61,47.44,81.68,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,60,Banda,1113,2017,61.64,59.14,61.9,67.16,66.25,57.12,68.37,49.87,28.85,64.78,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jammu And Kashmir,3,60,Bandipora,572,2017,48.6,52.57,58.55,63.64,62.61,59.67,52.45,37.41,31.25,56.47,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,61,Banka,1083,2017,50.69,59.57,65.35,68.28,66.59,57.28,73.59,50.51,26.17,67.41,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,61,Bankura,1050,2017,48.76,70.61,65.26,65.71,71.48,60.08,63.52,58.57,48.66,73.81,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,59,Banswara,962,2017,59.04,65.02,66.11,69.96,69.51,57.46,69.85,50.83,32.83,68.92,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Barabanki,1167,2017,64.01,64.81,69.59,73.14,73.69,59.02,73.18,61.27,40.07,77.21,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jammu And Kashmir,3,55,Baramula,520,2017,56.15,71.86,73.62,77.4,71.88,72.37,65.77,43.46,45.63,71.73,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Baran,922,2017,70.17,74.78,74.13,77.33,76.08,66.88,81.34,70.17,42.61,80.69,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Bareilly,1097,2017,58.34,71.25,63.77,67,64.69,49.82,69.83,56.34,28.21,67.82,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,59,Bargarh,931,2017,54.99,53.8,54.31,59.18,66.81,48.94,63.59,54.78,42.3,68.96,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Barmer,994,2017,70.22,71.63,74.83,80.73,78.47,63.58,78.07,66.2,37.83,83.4,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,61,Barnala,1113,2017,43.94,50.89,54.59,57.77,42.59,42.13,52.29,37.02,24.11,65.59,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Barpeta,1165,2017,64.46,75.87,71.41,75.28,73.83,71.84,76.31,57.77,43.53,77,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,60,Barwani,604,2017,55.79,67.77,67.8,70.28,75.52,51.82,79.14,55.13,35.22,80.96,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,57,Baster,711,2017,47.26,54.9,64.73,65.12,67.37,64.97,65.68,53.45,27.45,73.42,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,56,Basti,899,2017,65.74,67.19,68.82,70.63,71.51,60.79,73.75,55.17,34.16,75.19,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,61,Bathinda,1419,2017,36.22,38.78,42.68,44.22,32.12,29.79,37.98,30.09,16.48,47.99,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,61,Begusarai,1464,2017,58.81,59.26,64.44,69.23,65.44,47.95,72.47,48.57,33.52,71.65,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Belagavi Chikkodi,1431,2017,78.83,75.04,74.6,82.46,83.66,77,85.74,72.61,60.85,86.09,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Belagavi,1573,2017,78.26,71.78,74.71,84.04,84.81,79.11,87.41,77.81,60.41,87.86,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,61,Bemetara,1333,2017,51.99,47.74,61.39,63.62,60.84,50.07,61.82,49.81,35.24,73.97,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,56,Bengaluru Rural,829,2017,74.55,64.21,69.25,80.7,80.3,71.49,82.27,66.47,54.31,82.63,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,3,56,Champawat,538,2017,55.58,64.03,64.24,67.75,63.79,55.09,73.23,52.97,45.45,78.25,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Bengaluru U North,1444,2017,61.7,58.26,61.99,70.74,66.77,63.01,71.33,57.96,34.59,75.42,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,60,Bengaluru U South,1313,2017,68.7,70.86,67.79,77.08,75.5,72.02,78.6,62,37.03,79.51,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,60,Betul,698,2017,59.17,65.14,63.53,72.64,70.41,60.92,71.92,56.45,26.57,74.21,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Bhadoi,1215,2017,52.59,58.85,61.27,61.65,61.73,54.82,66.83,52.43,31.87,66.91,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,53,Bhadradr,587,2017,51.45,45.96,69.16,73.34,69.74,50.99,65.25,58.94,42.46,75.13,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,60,Bhadrak,920,2017,54.46,62.2,58.04,65.33,68.92,63.44,68.91,51.2,46.59,72.83,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,57,Bhagalpur,1305,2017,51.03,49.92,60.89,63.3,61.6,52.45,68.89,47.05,26.19,61.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Bhandara,1160,2017,46.64,63.42,68.49,61.51,73.25,68.56,68.02,56.12,41.44,85.17,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Bharatpur,1099,2017,70.25,81.94,77.19,80.8,77.81,63.35,82.07,73.79,51.21,84.17,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Bharuch,1054,2017,44.5,55.41,62.42,60.91,64.69,51.68,62.43,39.47,39.58,68.6,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Bhavnagar,1511,2017,54.8,68.69,71.96,70.98,76.93,61.01,73.06,57.71,40.82,80.87,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,60,Bhilwara,922,2017,57.05,63.4,64.84,68.22,66.61,59.4,70.72,55.53,32.9,75.38,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,59,Bhind,789,2017,55.39,66.24,63.4,68.57,65.21,55.86,70.6,51.46,26.03,71.61,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,61,Bhiwani,1048,2017,48.38,60.11,62.59,66.7,62.41,54.91,67.27,49.52,30.81,72.33,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,60,Bhojpur,1047,2017,49.95,52.45,59.33,63.61,58.43,53.36,65.62,47.56,26.22,59.03,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Bhopal,1160,2017,66.9,71.58,71.9,77.24,75.59,56.78,77.24,69.4,36.4,82.24,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,60,Bid,1255,2017,65.9,83.17,78.14,74.26,82.45,74.48,78.09,64.62,54.01,89.08,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,59,Bidar,1186,2017,58.43,51.36,63.4,69.69,72.45,68.46,74.11,53.71,25.59,75.8,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,61,Bijapur,1111,2017,37.17,53.07,57.88,60.4,61.96,53.14,66.43,47.88,19.74,64.9,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Bijnor,968,2017,59.92,62.39,63.78,64.98,65.45,59.76,68.29,53.1,33.19,70.25,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,60,Bikaner,1086,2017,69.24,73.25,74.27,76.47,77.39,66.36,78.64,64,42.99,79.1,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,61,Bilaspur (chhattisgarh),1363,2017,48.5,52.61,56.18,56.57,56.45,49.13,61.41,48.57,36.96,67.5,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,3,61,Bilaspur (h.p.),517,2017,58.99,70.37,71.31,72.34,72.19,52.19,71.57,53.38,43.62,81.62,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,61,Birbhum,1127,2017,58.47,76.94,67.79,70.98,72.24,61.18,65.57,62.56,50,77.64,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,3,51,Bishnupur,385,2017,65.97,56.83,68.31,68.31,77.85,63.86,77.66,59.22,38.8,81.82,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,56,Bokaro,898,2017,56.9,65.38,71.81,72.55,74.04,58.99,75.5,59.13,36.65,79.06,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,55,Bolangir,822,2017,56.08,61.58,62.32,63.14,69.02,54.33,71.29,55.6,42.36,70.19,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Bongaigaon,1116,2017,71.95,82.52,73.48,80.69,79.79,67.98,84.05,67.47,59.21,80.56,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Botad,1545,2017,58.58,70.65,74.55,74.43,78.99,58.84,73.53,62.52,44.29,80.78,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,61,Boudh,663,2017,47.06,49.37,53.97,54,60.71,48.12,58.52,52.19,30.5,66.82,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,59,Budaun,992,2017,45.36,57.46,52.49,54.13,57.12,48.26,54.74,40.42,17.3,56.05,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Bulandshahr,1094,2017,24.22,18.73,20.5,17.92,22.5,17.46,25.78,20.2,14.18,16.82,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Buldana,1389,2017,58.6,68.93,71.08,67.17,73.41,66.32,70.19,55.72,40.5,79.77,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Bundi,915,2017,67.65,68.61,72.82,77.32,76.77,70.36,81.53,71.69,52.69,82.51,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Burhanpur,1178,2017,61.97,67.33,70.24,71.65,74.96,64.17,77.42,60.19,30.02,73.77,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,60,Buxar,1226,2017,49.84,62.24,65.37,70.51,67.33,60.59,68.76,46.41,32.74,70.88,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Cachar,1034,2017,61.7,76.95,69.41,70.41,74.23,63.41,68.18,63.93,50.98,75.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,3,61,Central Delhi,1043,2017,37.58,42.34,50.84,51.2,47.75,37.16,49.38,37.49,27.03,57.14,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Chamarajanagara,1133,2017,73.26,66.85,68.84,79.96,78.43,68.35,82.61,65.49,45.7,85.97,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,3,61,Chamba,614,2017,48.53,54.81,61.52,63.03,64.85,46.69,63.84,38.27,27.24,77.04,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,3,61,Chamoli,507,2017,54.64,61.73,63.94,71.01,68.55,59.85,69.23,50.3,30.45,82.64,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Barabanki,1167,2017,,,,,,,,,,,72.52,73.66,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,3,57,Champhai,740,2017,60.54,72.65,75.1,69.19,79.13,54.77,75.27,56.76,41.82,84.73,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Chandauli,1507,2017,57.2,55.43,64.4,67.49,65.71,58.56,66.29,59.26,32.18,74.39,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,3,59,Chandel,425,2017,63.06,72.63,71.53,77.06,77.05,66.81,66.82,51.06,41.58,76.71,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chandigarh,3,113,Chandigarh,2853,2017,68.17,70.68,75.51,79.04,76.36,64.54,77.64,62.11,48.64,84.3,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Chandrapur,1056,2017,48.01,55.62,61.03,57.05,63.69,54.63,62.88,44.6,30.23,75.57,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,3,60,Changlang,883,2017,27.41,26.21,31.96,32.05,33.62,29.24,26.95,24.12,19.77,24.92,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,61,Chatra,959,2017,57.87,65.32,69.53,70.02,74.27,61.15,77.79,53.39,31.49,77.27,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,3,60,Chennai,1014,2017,60.16,44.33,62.93,74.75,65.25,56.75,56.02,47.34,31.01,70.81,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Chhatarpur,906,2017,67.33,61,71.59,73.57,72.14,60,78.81,64.9,44.44,78.7,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Chhindwara,777,2017,57.27,62.77,65.84,69.24,69.02,61.1,68.08,61.13,31.38,77.35,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Chhotaudepur,992,2017,45.26,56.9,60.41,59.68,64.84,53.31,56.96,40.42,32.64,63.1,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,59,Chikkaballapura,862,2017,69.72,67.93,68.08,76.1,74.67,71.43,82.13,63.46,49.64,83.41,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,59,Chikkamagaluru,869,2017,64.56,63.66,64.69,71.92,73.39,65.68,75.14,60.41,45.6,81.01,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,58,Chirang,889,2017,59.17,68.17,67.21,73.34,71.96,61.54,70.42,62.77,45.61,73.23,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Chitradurga,1047,2017,70.3,63.85,70.88,80.8,82.65,78.07,83.86,72.97,54.81,84.34,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Chitrakoot,958,2017,58.04,59.38,64.56,64.14,64.9,52.72,68.06,55.11,33.33,68.68,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Chittaurgarh,718,2017,60.17,64.14,69.8,73.68,71.27,60.53,69.36,53.9,35.86,77.44,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,3,60,Chittoor,574,2017,58.36,66.55,61.84,78.4,72.74,61.87,70.73,67.6,54.55,80.14,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,3,58,Churachandpur,678,2017,62.68,70.86,68.4,73.01,72.96,57.95,57.96,49.12,42.33,74.78,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Churu,1181,2017,68.67,77.63,75.56,80.23,79.09,68.87,82.13,68.08,37.12,84.84,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,3,39,Coimbatore,607,2017,56.34,52.53,60.95,73.23,59.27,51.94,52.55,48.27,37.04,69.69,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,3,60,Cuddalore,811,2017,57.21,52.49,61.57,68.8,63.81,60.64,59.8,54.13,38.06,69.42,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,60,Cuttack,889,2017,70.53,78.18,66.59,75.59,79.33,69.71,79.87,65.35,55.23,85.94,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Dadra & Nagar Haveli,3,253,Dadra And Nagar Haveli,3967,2017,53.39,61.64,70.33,68.82,73.5,61.17,67.86,56.04,35.14,78.2,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,61,Dakshin Dinajpur,1006,2017,60.14,77.09,73.44,76.34,79.14,68.25,73.76,67.99,56.77,83.2,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,60,Dakshina Kannada,993,2017,65.76,63.56,66.35,75.43,75.87,63.33,72.51,60.62,55.26,86.51,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Daman & Diu,3,30,Daman,534,2017,55.06,59.85,68,71.16,77.61,55.93,67.23,52.62,36.36,80.52,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Damoh,856,2017,56.66,63.3,64.23,65.13,62.86,56.22,68.22,54.32,28.57,72.66,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,58,Dantewada,807,2017,41.14,50.51,56.85,56.44,58.88,44.34,59.85,42.38,36.73,67.78,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,58,Darbhanga,1197,2017,40.52,43.9,47.84,55.47,52,40.69,50.79,35.09,18.47,54.05,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Darrang,1160,2017,65.26,75.61,72.13,74.61,73.45,63.92,72.41,56.64,42.39,73.19,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,60,Datia,784,2017,50.89,53.95,57.84,59.06,61.49,47.48,63.9,47.07,18.53,72.07,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,58,Dausa,867,2017,68.51,80.91,78.25,82.99,79.98,76.58,86.51,73.59,44.55,87.77,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Davanagere,1089,2017,80.62,70.45,72.56,82.42,82.07,80.04,88.89,72.45,47.21,90.27,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,3,61,Dehradun,936,2017,60.47,62.42,70.13,70.03,69.52,51.18,75,55.02,37.79,81.09,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Haveri,1295,2017,,,,,,,,,,,83.2,81.31,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,45,Deogarh,525,2017,59.81,53.05,63.04,68.86,70.88,57.41,67.43,54.67,53.44,73.14,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,61,Deoghar,1082,2017,52.13,60.83,66.68,70.79,72.05,52.81,71.26,53.33,28.44,74.31,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,53,Deoria,765,2017,49.93,57.57,55.39,54.18,58.36,46.84,61.96,47.97,28.38,65.75,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Devbhoomi Dwarka,1241,2017,51.73,58.83,66.98,65.87,70.43,57.37,62.45,50.68,42.3,74.7,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,59,Dewas,745,2017,56.91,71.27,72.08,75.3,76.4,60.37,78.12,62.82,39.02,85.1,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,3,49,Dhalai,598,2017,37.79,59,55.91,56.77,65.9,52.01,52.17,50.33,37.33,65.38,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,60,Dhamtari,936,2017,38.78,39.78,51.47,47.49,48.51,44.12,55.88,37.82,30.22,72.65,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,60,Dhanbad,1123,2017,62.51,70.52,71.87,72.44,74.96,60.53,77.56,58.15,34.9,78.36,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,59,Dhar,620,2017,48.55,63.21,63.08,62.98,64.82,51.09,68.39,50.97,20.07,67.9,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,3,61,Dharmapuri,796,2017,75.13,66.41,74.43,83.54,79.92,71.15,69.85,66.83,38.76,81.91,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Dharwad,1535,2017,78.76,78.33,73.18,83.22,80.12,82.18,86.84,72.57,47.65,85.8,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Dhaulpur,1302,2017,71.43,80.59,78.09,83.33,80.89,76.17,86.64,73.73,39.28,85.94,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Dhemaji,800,2017,53.25,63.66,57.34,63.38,62.71,54.14,59.88,52.75,29.71,68.88,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,59,Dhenkanal,901,2017,39.96,45.76,47.83,52.55,53.8,47.9,54.16,41.62,29.02,60.49,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Dhubri,1174,2017,56.9,68.84,66.42,71.64,70.75,63.56,68.82,56.56,38.18,75.38,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Dhule,1346,2017,59.44,73.82,70.07,67.27,72.21,62.12,70.28,60.03,37.29,77.93,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,3,6,Dibang Valley,63,2017,57.14,64.52,64.31,54.76,60,40.63,50.79,44.44,29.03,58.73,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,60,Dibrugarh,940,2017,55.43,60.95,62.02,66.01,65.54,57.2,65.74,52.98,39.48,70,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,52,Dima Hasao,514,2017,60.89,58.68,64.58,69.07,74.49,58.09,51.36,54.28,41.74,68.48,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,3,52,Dimapur,907,2017,53.25,58.9,65.78,67.42,69.98,60.18,59.76,51.82,42.42,58.77,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
